sie się
slowo słowo
szesc sześć
sil sił
ktoremu któremu
musiala musiała
drog dróg
miare miarę
dostep dostęp
widze widzę
pawla pawła
punktow punktów
jakiejs jakiejś
liscie liście
uczestnikow uczestników
glosowalo głosowało
tydzien tydzień
ilosc ilość
wspolnego wspólnego
mialam miałam
mlodziez młodzież
piatek piątek
trafil trafił
zrobil zrobił
swa swą
niezaleznie niezależnie
jezyka języka
czasow czasów
liczbe liczbę
prowadzic prowadzić
jaroslaw jarosław
nieruchomosci nieruchomości
zdobyl zdobył
rodzicow rodziców
glosowania głosowania
osrodka ośrodka
panow panów
zmienic zmienić
uzyskac uzyskać
zadan zadań
produktow produktów
sytuacje sytuację
zaleznosci zależności
pozostalych pozostałych
lezy leży
bylam byłam
ciala ciała
milosc miłość
ilosci ilości
ministrow ministrów
maz mąż
samorzadu samorządu
wieksza większą
zakladow zakładów
pelne pełne
watpliwosci wątpliwości
dobra dobrą
lacznie łącznie
postepowanie postępowanie
ubieglego ubiegłego
mlody młody
miesiac miesiąc
polska polską
sprzedaz sprzedaż
sama samą
duzych dużych
duzy duży
droga drogą
przystepujemy przystępujemy
najwazniejsze najważniejsze
pozostale pozostałe
coz cóż
najwieksze największe
zaczeli zaczęli
slow słów
swiadczenia świadczenia
oddzialu oddziału
przyjeciem przyjęciem
przyszlym przyszłym
bylaby byłaby
inna inną
isc iść
wydawalo wydawało
wybor wybór
przedsiebiorstwa przedsiębiorstwa
pojawil pojawił
srodku środku
tysiace tysiące
zmiane zmianę
uchwaly uchwały
napisal napisał
malgorzata małgorzata
tresc treść
szukac szukać
dostal dostał
powinnismy powinniśmy
zarzadzania zarządzania
wstrzymal wstrzymał
dzialanie działanie
moglem mogłem
udzialem udziałem
rafal rafał
zdjecia zdjęcia
okreslone określone
spolka spółka
glowa głową
oplaty opłaty
milosci miłości
porownaniu porównaniu
powyzej powyżej
cialo ciało
osobiscie osobiście
maly mały
bylismy byliśmy
pomoc pomóc
swiadczen świadczeń
zaczely zaczęły
ponizej poniżej
panstwowej państwowej
powstal powstał
osrodek ośrodek
najwiekszych największych
szczegolnosci szczególności
przyszedl przyszedł
rzeczywistosci rzeczywistości
poczatkowo początkowo
zobaczyc zobaczyć
twoj twój
wszedzie wszędzie
funkcje funkcję
spolecznych społecznych
kilkadziesiat kilkadziesiąt
korzystac korzystać
przyczyna przyczyną
glowny główny
pamietam pamiętam
kwote kwotę
obowiazku obowiązku
wyzej wyżej
konczy kończy
wystepuje występuje
wojt wójt
umowe umowę
odpowiedzialnosc odpowiedzialność
poblizu pobliżu
niewatpliwie niewątpliwie
nastepnego następnego
ow ów
ciezko ciężko
programow programów
mezczyzn mężczyzn
proby próby
sedzia sędzia
urzedzie urzędzie
koniecznosc konieczność
dluzej dłużej
chodzilo chodziło
panstw państw
dwadziescia dwadzieścia
wyjatkowo wyjątkowo
dokumentow dokumentów
wrocil wrócił
postanowil postanowił
umiejetnosci umiejętności
reguly reguły
calosci całości
rozpoczal rozpoczął
pojawily pojawiły
zadne żadne
okresla określa
jakosci jakości
postac postać
czlonek członek
wejscia wejścia
wlasny własny
stwierdzil stwierdził
doswiadczenia doświadczenia
wzial wziął
pracowac pracować
lubie lubię
rownoczesnie równocześnie
zyc żyć
miesiace miesiące
pracowal pracował
latwiej łatwiej
ksiazka książka
pilkarze piłkarze
nacisniecie naciśnięcie
obslugi obsługi
jezyk język
marszalek marszałek
potrafia potrafią
ustawa ustawą
okolicznosci okoliczności
wiaze wiąże
druzyna drużyna
uklad układ
podjal podjął
probowal próbował
sprawiedliwosci sprawiedliwości
widzial widział
przedsiebiorstw przedsiębiorstw
wielkosci wielkości
dosyc dosyć
spoleczenstwa społeczeństwa
liste listę
polowy połowy
powstala powstała
najblizszych najbliższych
stanislawa stanisława
zabraklo zabrakło
zadna żadna
wnioskow wniosków
gosci gości
dlugie długie
komisje komisję
pan pań
znalazla znalazła
klopoty kłopoty
wlasciwy właściwy
zajal zajął
poniedzialek poniedziałek
pelna pełną
ustawe ustawę
powrot powrót
szesciu sześciu
umow umów
najwiekszym największym
zawodnikow zawodników
spoldzielni spółdzielni
wzdluz wzdłuż
prowadzil prowadził
okazal okazał
goscie goście
wyszedl wyszedł
oddzial oddział
ukladu układu
budzet budżet
wyzsze wyższe
zaczelo zaczęło
elementow elementów
domow domów
spolek spółek
spotkan spotkań
koniecznosci konieczności
zolnierzy żołnierzy
zwrocil zwrócił
wlasnosci własności
grac grać
sklada składa
mowila mówiła
najwieksza największą
miroslaw mirosław
pewna pewną
kandydatow kandydatów
samochodow samochodów
pozycje pozycję
stworzyc stworzyć
zyje żyje
swieta święta
miejscowosci miejscowości
dostac dostać
dolarow dolarów
jednakze jednakże
glosow głosów
swiadczy świadczy
wybrac wybrać
dlugi długi
glownego głównego
glosowanie głosowanie
sprzet sprzęt
pisal pisał
skorzystac skorzystać
najwiekszy największy
najwyzej najwyżej
przewodniczacego przewodniczącego
nalezalo należało
znalezli znaleźli
odbyl odbył
swietnie świetnie
zabrac zabrać
posrednictwem pośrednictwem
swietle świetle
polowa połowa
zaklady zakłady
rozmow rozmów
zebym żebym
robia robią
zaplacic zapłacić
przyjecia przyjęcia
zakonczenie zakończenie
zakonczeniu zakończeniu
pilki piłki
krotko krótko
grupe grupę
odbylo odbyło
cene cenę
dopoki dopóki
zwyciestwo zwycięstwo
wyborow wyborów
nagrode nagrodę
podjac podjąć
poszedl poszedł
wygral wygrał
czuje czuję
mysle myślę
wydatkow wydatków
patrzac patrząc
naleza należą
swiatowej światowej
pojawiaja pojawiają
wykorzystac wykorzystać
wydal wydał
bylego byłego
odbyla odbyła
oplat opłat
skladek składek
urzadzenia urządzenia
mezczyzni mężczyźni
przyjac przyjąć
przejsc przejść
widzialem widziałem
podkresla podkreśla
spojrzal spojrzał
kosciele kościele
rozwiazan rozwiązań
doprowadzic doprowadzić
chcac chcąc
przedstawic przedstawić
studentow studentów
trudnosci trudności
podniesc podnieść
zlozyl złożył
dochodow dochodów
moglaby mogłaby
nastepuje następuje
przyjal przyjął
nastepnym następnym
zdobyc zdobyć
wrazenie wrażenie
wiekszych większych
okazje okazję
wplywu wpływu
pilke piłkę
nazwe nazwę
obecnosci obecności
zapewnic zapewnić
mala mała
zastepca zastępca
ogol ogół
istnieja istnieją
chwila chwilą
jedyna jedyną
powodow powodów
swietego świętego
czlonkiem członkiem
glownej głównej
wplywem wpływem
poprawke poprawkę
glowie głowie
uznac uznać
poznac poznać
korzysci korzyści
reka ręką
wejsc wejść
wiekszej większej
elzbieta elżbieta
zadnym żadnym
opinie opinię
powazne poważne
czescia częścią
zwiazany związany
materialow materiałów
jozefa józefa
daja dają
blizej bliżej
zwierzat zwierząt
chcialby chciałby
chociazby chociażby
placic płacić
wstrzymalo wstrzymało
wszedl wszedł
dotycza dotyczą
spotkac spotkać
obecnosc obecność
bedac będąc
wiedza wiedzą
stanal stanął
celow celów
kola koła
kapitalu kapitału
czekaja czekają
wrocic wrócić
dostepu dostępu
nastepujace następujące
biorac biorąc
kredytow kredytów
siec sieć
znalazly znalazły
bankow banków
polowe połowę
przykladem przykładem
swiatlo światło
zwiazkow związków
przyszlo przyszło
mogloby mogłoby
chec chęć
niezbedne niezbędne
spolecznego społecznego
mnostwo mnóstwo
rade radę
wyjatkiem wyjątkiem
pamiec pamięć
zapytal zapytał
doswiadczenie doświadczenie
majatku majątku
materialy materiały
przyszla przyszła
przemyslu przemysłu
poinformowal poinformował
osobe osobę
malej małej
zwiazki związki
urzadzen urządzeń
plyty płyty
wysoka wysoką
siedzial siedział
jakichs jakichś
jakosc jakość
gleboko głęboko
slawomir sławomir
wspolne wspólne
niedlugo niedługo
walczyc walczyć
wewnatrz wewnątrz
firme firmę
podrozy podróży
zgode zgodę
okreslenie określenie
stracil stracił
osiagniecia osiągnięcia
staja stają
kolejna kolejną
zagrozenia zagrożenia
obowiazkow obowiązków
wode wodę
wlasciciele właściciele
umozliwia umożliwia
ogladac oglądać
wlosy włosy
wprowadzic wprowadzić
zespoly zespoły
poslowie posłowie
postepowaniu postępowaniu
przyznal przyznał
sprzetu sprzętu
zrodlem źródłem
glownych głównych
historie historię
przyszlego przyszłego
powiesci powieści
uroczystosci uroczystości
laczy łączy
wojewodzkiego wojewódzkiego
prowadza prowadzą
uzytkownikow użytkowników
nastepne następne
kolegow kolegów
zaczynaja zaczynają
wyjsc wyjść
blad błąd
dziesieciu dziesięciu
dokonac dokonać
obiektow obiektów
jakze jakże
rak rąk
przyszlosc przyszłość
rzucil rzucił
organow organów
stanow stanów
zaczac zacząć
artykul artykuł
mlodego młodego
corka córka
pojawila pojawiła
studiow studiów
gre grę
nalezaloby należałoby
zlozyc złożyć
pokoj pokój
bezpieczenstwo bezpieczeństwo
czlowiekiem człowiekiem
potrafil potrafił
jezyku języku
srednio średnio
gore górę
mysla myślą
wewnetrznych wewnętrznych
krol król
mieszkan mieszkań
trwaja trwają
ksiazek książek
realizacje realizację
chlopak chłopak
przedstawil przedstawił
wiedze wiedzę
probuje próbuje
brac brać
zajac zająć
zmienil zmienił
wlasciwego właściwego
wyzszej wyższej
przyjechal przyjechał
kontekscie kontekście
czekac czekać
gral grał
najblizszym najbliższym
sluzb służb
sluzy służy
wazny ważny
podstawa podstawą
zrodel źródeł
dojsc dojść
sluzyc służyć
pelnym pełnym
godzine godzinę
wyplaty wypłaty
chcialabym chciałabym
chlopcy chłopcy
wieslaw wiesław
swiadomosc świadomość
osoba osobą
poszczegolne poszczególne
zrodla źródła
dzialac działać
wladyslaw władysław
czesciowo częściowo
sila siłą
powaznie poważnie
scisle ściśle
wiekszym większym
sciany ściany
wiekszy większy
informacje informację
zachowac zachować
utrzymac utrzymać
branzy branży
odpowiedziec odpowiedzieć
miesiacach miesiącach
pytan pytań
zespolow zespołów
najwyzszego najwyższego
wrzesniu wrześniu
marszalka marszałka
wolnosc wolność
akcje akcję
kare karę
dostepne dostępne
malym małym
glosno głośno
glowna główną
srodka środka
swiadomosci świadomości
filmow filmów
placowki placówki
podzial podział
musialem musiałem
rozpoczela rozpoczęła
krakow kraków
wroclaw wrocław
projektow projektów
slychac słychać
przyjaciol przyjaciół
zakonczyl zakończył
spoleczenstwo społeczeństwo
spoleczne społeczne
srode środę
ksiazke książkę
reki ręki
przysluguje przysługuje
roznica różnica
papierow papierów
przewaznie przeważnie
stale stałe
towarow towarów
przekonac przekonać
nastapi nastąpi
wystapil wystąpił
wystepuja występują
mialby miałby
roznego różnego
sile siłę
dodac dodać
tworza tworzą
szkolach szkołach
przestepstwa przestępstwa
wlascicieli właścicieli
obowiazki obowiązki
zeszlym zeszłym
interesow interesów
znajda znajdą
stosunkow stosunków
chcialam chciałam
mniejszosci mniejszości
calosc całość
polaczenia połączenia
wejscie wejście
miesiaca miesiąca
miesci mieści
zdolnosci zdolności
zagrozenie zagrożenie
pelnej pełnej
panstwowych państwowych
odpowiedzial odpowiedział
ksztalt kształt
stanowic stanowić
robil robił
ksiazce książce
dziela dzieła
wlasciwosci właściwości
wydzial wydział
glowne główne
otrzymac otrzymać
pojazdow pojazdów
otrzymala otrzymała
podstawe podstawę
wies wieś
pracuja pracują
stoja stoją
kolejnosci kolejności
waznych ważnych
oddac oddać
pragne pragnę
pojecie pojęcie
proba próba
polaczenie połączenie
podmiotow podmiotów
trwala trwała
propozycje propozycję
wyszla wyszła
stopien stopień
osiagnac osiągnąć
najwazniejszych najważniejszych
wlasciciela właściciela
bron broń
dowod dowód
powstaly powstały
straz straż
piekne piękne
podzialu podziału
moglyby mogłyby
kilkudziesieciu kilkudziesięciu
wieczor wieczór
poki póki
podniosl podniósł
budynkow budynków
majace mające
czul czuł
dodal dodał
rozmawiac rozmawiać
ochrone ochronę
uzyskal uzyskał
zajmuja zajmują
tysiac tysiąc
przekazac przekazać
krola króla
zwiekszenie zwiększenie
majacych mających
polityke politykę
zaczalem zacząłem
ostatnia ostatnią
pojecia pojęcia
zajec zajęć
polske polskę
przeszedl przeszedł
niegdys niegdyś
dzielo dzieło
palacu pałacu
okreslic określić
uwazam uważam
musialy musiały
walke walkę
uprawnien uprawnień
pelen pełen
pokazac pokazać
uniknac uniknąć
ida idą
pilka piłka
komus komuś
slonce słońce
uznal uznał
prawde prawdę
zdecydowal zdecydował
ziemie ziemię
dzialaja działają
przygotowac przygotować
trafila trafiła
wspolpraca współpraca
wzgledow względów
kawalek kawałek
stamtad stamtąd
wzielo wzięło
malego małego
ludzmi ludźmi
kilometrow kilometrów
podjecia podjęcia
meza męża
wazna ważna
okazala okazała
pozwalaja pozwalają
swiatla światła
zrodlo źródło
uderzyl uderzył
pisac pisać
musialo musiało
dalo dało
obowiazuje obowiązuje
wiedzial wiedział
forme formę
myslec myśleć
ogolnie ogólnie
wydac wydać
wystapienia wystąpienia
czlonka członka
srodek środek
wyzszych wyższych
material materiał
rzekl rzekł
szedl szedł
zajela zajęła
srodowisko środowisko
placi płaci
wpadl wpadł
brakowalo brakowało
wole wolę
oswiadczenie oświadczenie
patrzyl patrzył
glosy głosy
jesienia jesienią
skladzie składzie
swiety święty
rosnie rośnie
przeszlosci przeszłości
poludniu południu
znal znał
trybunalu trybunału
widzow widzów
nastapilo nastąpiło
powiedzialem powiedziałem
odbeda odbędą
kazal kazał
rozpoczac rozpocząć
roznice różnice
gorze górze
politykow polityków
pojsc pójść
podal podał
prosba prośbą
zalozenia założenia
sadem sądem
zolnierze żołnierze
rekach rękach
skutkow skutków
okregowego okręgowego
ogromna ogromną
zwiazana związana
systemow systemów
oszczednosci oszczędności
zdjecie zdjęcie
wspolprace współpracę
biale białe
nacisnac nacisnąć
okreslenia określenia
urzednicy urzędnicy
trzydziesci trzydzieści
zdolnosc zdolność
dala dała
nastepnych następnych
amerykanskich amerykańskich
dzialo działo
boze boże
wydarzen wydarzeń
rozmowe rozmowę
wspolnoty wspólnoty
bylyby byłyby
wystep występ
miedzynarodowych międzynarodowych
wiadomosc wiadomość
nastepny następny
ludnosci ludności
wspolnej wspólnej
uczyc uczyć
zatrzymal zatrzymał
budzecie budżecie
toba tobą
okreslonej określonej
wiekszego większego
zmarl zmarł
waznym ważnym
wlascicielem właścicielem
okaze okaże
okreslony określony
wiezienia więzienia
lodz łódź
osrodku ośrodku
zony żony
podroz podróż
totez toteż
bialy biały
placowek placówek
pismie piśmie
spotkal spotkał
sadzie sądzie
osmiu ośmiu
krotkim krótkim
reszte resztę
bral brał
mowimy mówimy
szczegolowe szczegółowe
dotyczacej dotyczącej
zawodow zawodów
wymagaja wymagają
okazac okazać
zlozenia złożenia
okreslonego określonego
slaska śląska
otworzyl otworzył
polaczone połączone
strazacy strażacy
wzieli wzięli
slady ślady
wielkosc wielkość
stop stóp
pozostal pozostał
zrobila zrobiła
zrobilo zrobiło
odbyly odbyły
uzytkownik użytkownik
gora góra
zlego złego
biora biorą
pacjentow pacjentów
zachowan zachowań
przypadkow przypadków
tworcy twórcy
ksiedza księdza
dlugosci długości
narzedzia narzędzia
dzialacze działacze
czytelnikow czytelników
ktoregos któregoś
wroclawiu wrocławiu
mowili mówili
zaklada zakłada
aktywnosci aktywności
wladza władza
obejrzec obejrzeć
zewnatrz zewnątrz
srodowisku środowisku
zauwazyl zauważył
zaproponowal zaproponował
wynikajace wynikające
rozporzadzenia rozporządzenia
szkole szkołę
spelnia spełnia
chlopiec chłopiec
podac podać
wiosna wiosną
zarzadzanie zarządzanie
tworzyc tworzyć
bol ból
pazdzierniku październiku
przyszly przyszły
wyjscia wyjścia
rozni różni
chodzic chodzić
odpadow odpadów
najwyrazniej najwyraźniej
lamach łamach
traktowac traktować
srednich średnich
radosc radość
doswiadczen doświadczeń
potrzebe potrzebę
glosem głosem
powstac powstać
wiedziec wiedzieć
poltora półtora
zyja żyją
oferte ofertę
wykonac wykonać
okregowy okręgowy
znalazlo znalazło
zloty złoty
zgloszenia zgłoszenia
stosowac stosować
dzialu działu
rzedu rzędu
nazwa nazwą
wypadkow wypadków
odbywaja odbywają
postawic postawić
mediow mediów
ruszyl ruszył
opowiesci opowieści
kontrole kontrolę
szczegolna szczególną
wegla węgla
zobowiazan zobowiązań
piekna piękna
papiez papież
zespolem zespołem
sredniej średniej
wchodza wchodzą
sprzedac sprzedać
tytulem tytułem
mieczyslaw mieczysław
zabral zabrał
zakladzie zakładzie
powstalo powstało
przestal przestał
zakladach zakładach
pieknie pięknie
zrozumiec zrozumieć
moc móc
trwaly trwały
okreslonym określonym
zginal zginął
granica granicą
zdzislaw zdzisław
kontaktow kontaktów
kazdemu każdemu
kradziezy kradzieży
rozmawial rozmawiał
kims kimś
rolnikow rolników
zakonczenia zakończenia
szczescia szczęścia
opowiadal opowiadał
naleznosci należności
granice granicę
wzor wzór
staral starał
glebi głębi
zobowiazania zobowiązania
jechac jechać
przedsiebiorstwo przedsiębiorstwo
miesiacu miesiącu
moglismy mogliśmy
dokonal dokonał
przeprowadzic przeprowadzić
uchwale uchwałę
materialu materiału
dowiedziec dowiedzieć
wlodzimierz włodzimierz
przekazal przekazał
koncem końcem
oskarzonego oskarżonego
wojewodztwie województwie
sprawdzic sprawdzić
general generał
usmiechnal uśmiechnął
ponoc ponoć
wstep wstęp
prowadzacy prowadzący
pozwolic pozwolić
pilkarzy piłkarzy
prawdziwa prawdziwą
opieke opiekę
przeszlo przeszło
wystapic wystąpić
wziela wzięła
zdjec zdjęć
powod powód
bysmy byśmy
urodzil urodził
nauke naukę
kosci kości
pamieta pamięta
poszla poszła
przeciwienstwie przeciwieństwie
pozostaja pozostają
ciesze cieszę
zobaczyl zobaczył
wskaznik wskaźnik
chetnych chętnych
skladu składu
pokonal pokonał
kapital kapitał
planow planów
bylych byłych
wlasnosc własność
wydaja wydają
szczegoly szczegóły
klubow klubów
zasobow zasobów
zgodzil zgodził
plikow plików
korzystajac korzystając
amerykanski amerykański
najwyzszej najwyższej
wygladal wyglądał
dziecmi dziećmi
chorob chorób
odleglosci odległości
odniesc odnieść
dochod dochód
wojna wojną
przychodza przychodzą
wplywa wpływa
czuc czuć
wlasciwe właściwe
woda wodą
trzecia trzecią
zdazyl zdążył
procesow procesów
lubia lubią
zglosic zgłosić
kupil kupił
weszla weszła
wynikajacych wynikających
zdarzaja zdarzają
roznymi różnymi
potrafie potrafię
wplywy wpływy
inwestorow inwestorów
wygrala wygrała
korzystaja korzystają
porzadek porządek
slowem słowem
zydow żydów
posrod pośród
mowilem mówiłem
spolecznosci społeczności
grupa grupą
oswiadczenia oświadczenia
zwyciestwa zwycięstwa
producentow producentów
patrzec patrzeć
wlasciwym właściwym
poglady poglądy
wyjasnienia wyjaśnienia
zadac zadać
moglbym mógłbym
probe próbę
ogien ogień
oskarzony oskarżony
siega sięga
znaja znają
tysiaca tysiąca
zlote złote
samorzad samorząd
wyksztalcenie wykształcenie
przyszlych przyszłych
forma formą
znac znać
sposobow sposobów
poprawka poprawką
policjantow policjantów
szczegolne szczególne
lezal leżał
zostalem zostałem
ksiegi księgi
wypowiedz wypowiedź
bedacych będących
grazyna grażyna
zajmowal zajmował
panstwu państwu
wszelka wszelką
wyzsza wyższa
podjecie podjęcie
spokoj spokój
uczestniczyc uczestniczyć
pokazal pokazał
oswiaty oświaty
miedzynarodowej międzynarodowej
wojewodzki wojewódzki
roslin roślin
znajomosc znajomość
kierowcow kierowców
przyniosl przyniósł
autorow autorów
rozwiazaniem rozwiązaniem
nazwac nazwać
zebysmy żebyśmy
wzrosla wzrosła
zly zły
trafic trafić
ocene ocenę
michala michała
krotkie krótkie
wystapi wystąpi
przejscie przejście
widzac widząc
narod naród
slad ślad
procz prócz
spytal spytał
dowodow dowodów
metoda metodą
wybral wybrał
nadzieje nadzieję
praca pracą
nastapic nastąpić
nagrod nagród
srednia średnia
organizacje organizację
wejsciu wejściu
napisac napisać
dzialajacych działających
zapytac zapytać
duzego dużego
aktywow aktywów
okregu okręgu
zglosil zgłosił
pochodza pochodzą
doslownie dosłownie
poznan poznań
myslenia myślenia
dzialki działki
okazaly okazały
bledy błędy
uslyszal usłyszał
strzelil strzelił
przemyslaw przemysław
rzecza rzeczą
chlopcow chłopców
przejscia przejścia
lodzkiego łódzkiego
podszedl podszedł
cwiczenia ćwiczenia
dokad dokąd
opowiesc opowieść
obroncy obrońcy
gwaltownie gwałtownie
druzyn drużyn
zdobyla zdobyła
budowac budować
dlon dłoń
rzeczywistosc rzeczywistość
wola wolą
zakonczyc zakończyć
urzednikow urzędników
sadow sądów
podejscie podejście
zakonczyla zakończyła
pociag pociąg
przelomie przełomie
swiadczenie świadczenie
czytac czytać
tworczosci twórczości
gdansku gdańsku
dostala dostała
dotyczacy dotyczący
wskazal wskazał
odbywaly odbywały
przypomnial przypomniał
mloda młoda
sluzbie służbie
